District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),Date
Cachar,32.95,6.09,1.83,183,0,0,0,15-05-2022
Hojai,22.06,4.47,1.28,128.5,0,0,0,15-05-2022
Karbi Anglong West,31,5,0.6,0.6,0,0,0,15-05-2022
Nagaon,0.31,0.06,0.02,0,0,0,0,15-05-2022
Nagaon,3.36,0.61,0.18,0,0,126,0,16-05-2022
Biswanath,9.37,1.74,0,0,0,0,195.81,16-05-2022
Cachar,8.06,1.49,0.45,45.01,0,0,0,16-05-2022
Hojai,262.69,49.47,14.84,1483.98,0,0,0,16-05-2022
Karbi Anglong West,23.95,4.34,1.31,1.31,0,0,0,16-05-2022
Udalguri,84.84,15.25,4.57,457,0,0,0,17-05-2022
Sonitpur,83.01,15.47,4.65,0,0,0,0,17-05-2022
Nagaon,110.15,20.58,6.17,0,0,236,0,17-05-2022
Karimganj,9.12,1.68,0.5,0,0,0,0,17-05-2022
Karbi Anglong West,23.95,4.34,1.31,130.14,0,0,0,17-05-2022
Kamrup,2.52,0.45,0.14,13.62,0,0,0,17-05-2022
Dibrugarh,75.01,13.76,4.13,0,0,0,0,17-05-2022
Charaideo,2.05,0.38,0.11,0.11,0,0,0,17-05-2022
Cachar,77.68,9.07,2.62,270.66,0,0,0,17-05-2022
Biswanath,32.66,5.94,1.78,178.29,0,0,280.65,17-05-2022
Bajali,0,0,0,0,0,102,0,17-05-2022
Hojai,371.84,65.01,19.44,1944.48,0,0,0,17-05-2022
Bajali,0,0,0,0,0,82.68,0,18-05-2022
Biswanath,244.34,43.48,2.67,132.39,0,79.38,0,18-05-2022
Cachar,239,98.12,23.34,2360.7,0,80,0,18-05-2022
Charaideo,2.63,0.47,0.17,0.17,0,0,0,18-05-2022
Darrang,270.61,50,14.99,263.49,0,0,54,18-05-2022
Hailakandi,46,8.4,2.52,252,0,0,0,18-05-2022
Hojai,344.05,63.88,19.17,1916.34,0,0,532.5,18-05-2022
Kamrup,0,0,0,0,0,356.28,0,18-05-2022
Karimganj,37.17,6.76,2.03,0,0,0,0,18-05-2022
Nagaon,367.24,69.7,20.91,0,0,1200,0,18-05-2022
Sonitpur,29.34,5.21,1.56,0,0,0,0,18-05-2022
Udalguri,91.43,16.78,5.07,506.98,0,0,0,18-05-2022
Dima-Hasao,9.43,1.82,0.78,44.74,0,0,0,18-05-2022
Karbi Anglong West,100.56,18.92,5.67,500.67,9,0,0,18-05-2022
Nagaon,4046.33,770.81,237.12,0,0,1229.37,0,19-05-2022
Nalbari,0,0,0,0,0,251,0,19-05-2022
Sonitpur,0,0,0,0,0,146.56,0,19-05-2022
Udalguri,64.26,11.65,3.5,349.53,0,0,0,19-05-2022
Lakhimpur,24.83,4.55,1.36,136,0,0,283.05,19-05-2022
Karimganj,17.03,3.14,0.94,0,0,0,0,19-05-2022
Karbi Anglong West,13.13,2.4,0.72,0.72,0,0,0,19-05-2022
Hojai,360.8,64.96,19.5,1948.62,0,0,0,19-05-2022
Kamrup,0.44,0.08,0.02,2.4,0,0,0,19-05-2022
Dima-Hasao,16,0.5,0.15,10,0,0,0,19-05-2022
Dibrugarh,0,0,0,0,0,112.5,0,19-05-2022
Dhemaji,11.17,1.93,0.57,57.96,0,0,0,19-05-2022
Darrang,385.8,73.36,22.08,2209.1,0,0,43.8,19-05-2022
Cachar,656.9,114.14,38.78,943.51,0,40,0,19-05-2022
Biswanath,88.02,16.96,3.63,363.06,0,93,0,19-05-2022
Hailakandi,0,0,0,0,0,19,0,19-05-2022
Nagaon,229.4,42.36,12.71,0,0,440,0,20-05-2022
Morigaon,13.1,2.68,0.8,0,0,0,0,20-05-2022
Lakhimpur,0,0,0,0,0,0,39,20-05-2022
Cachar,369,19.78,10.04,804,0,658,0,20-05-2022
Biswanath,1.21,0.22,0.03,2.7,0,0,0,20-05-2022
Hojai,277.45,51.96,15.58,998.56,0,0,100,20-05-2022
Sonitpur,3.6,0.66,0.2,0,0,0,0,20-05-2022
Kamrup,0,0,0,0,0,384.44,0,20-05-2022
Darrang,327.45,59.9,17.88,1788,0,0,792.5,20-05-2022
Karimganj,112.02,21.55,6.47,0,0,0,0,20-05-2022
Karbi Anglong West,13.13,2.4,0.72,0.72,0,0,0,20-05-2022
Hailakandi,36.12,6.64,2.08,201,0,0,0,20-05-2022
Udalguri,20.1,3.82,1.15,114.54,0,0,0,20-05-2022
Dima-Hasao,20,25,13,9,0,0,0,20-05-2022
Sonitpur,0,0,0,0,0,115.8,0,21-05-2022
Udalguri,1.59,0.31,0.09,9.3,0,0,0,21-05-2022
Cachar,1217.12,223.93,36.5,6636.7,0,2823,0,21-05-2022
Dima-Hasao,1.65,0.31,0.13,85.26,0,0,0,21-05-2022
Hailakandi,1.38,0.24,0.8,8,0,0,0,21-05-2022
Hojai,644.81,95.56,278.23,27822.9,0,0,0,21-05-2022
Kamrup,0,0,0,0,0,163.44,0,21-05-2022
Darrang,68.37,12.4,3.73,373,0,0,397.2,21-05-2022
Karimganj,73.04,13.54,4.16,337.19,0,0,0,21-05-2022
Lakhimpur,27.75,5.48,1.65,165,0,0,292,21-05-2022
Morigaon,20.35,3.37,1.01,0,0,0,0,21-05-2022
Nagaon,573.4,103.8,31.14,0,0,210,0,21-05-2022
Nalbari,0,0,0,0,0,296,0,21-05-2022
Karbi Anglong West,83,15.62,4.41,441,0,0,0,21-05-2022
Nagaon,157.98,28.49,8.55,0,0,0,0,22-05-2022
Cachar,595,100.15,31.73,2323.8,0,0,0,22-05-2022
Darrang,38.1,7.05,2.09,211,0,0,219.2,22-05-2022
Hailakandi,0,0,0,0,0,2.24,0,22-05-2022
Barpeta,0,0,0,0,0,548.24,0,22-05-2022
Hojai,119.82,14.92,6.75,443,0,0,57.5,22-05-2022
Karimganj,55.38,10.49,3.13,77.94,0,0,0,22-05-2022
Morigaon,271.51,49.38,14.81,0,0,118,0,22-05-2022
Udalguri,8.53,1.66,0.5,49.78,0,0,0,23-05-2022
Dima-Hasao,37.17,3.54,1.77,177,0,0,0,23-05-2022
Morigaon,600.1,106.95,32.09,0,0,256,0,23-05-2022
Barpeta,0,0,0,0,0,270.81,0,23-05-2022
Cachar,571.89,146.47,52.09,2234,0,0,0,23-05-2022
Darrang,0,0,0,0,0,0,308.28,23-05-2022
Dibrugarh,0,0,0,0,0,17.5,0,23-05-2022
Karimganj,11.81,2.26,0.68,0,0,0,0,23-05-2022
Karbi Anglong West,11.4,1.61,0.49,0.49,0,0,0,23-05-2022
Kamrup,3.65,0.65,0.2,0.2,0,234.82,0,23-05-2022
Nagaon,2121.64,390.37,117.11,0,0,145,0,23-05-2022
Hojai,44,2.55,1.3,69,0,0,0,23-05-2022
Hailakandi,4.86,0.85,0.26,25.5,0,0,0,23-05-2022
Barpeta,0,0,0,0,0,37.95,0,24-05-2022
Cachar,760,279.9,112.77,6051.95,0,7819.14,0,24-05-2022
Nagaon,85.71,15.2,4.56,0,0,505,0,24-05-2022
Morigaon,45.37,8.1,2.43,0,0,250,0,24-05-2022
Karimganj,41.09,7.38,2.21,221.31,0,0,0,24-05-2022
Karbi Anglong West,12.81,2.43,0.73,72.81,0,0,0,24-05-2022
Kamrup,3.65,0.65,0.2,20,0,0,0,24-05-2022
Hojai,13,1.95,0.6,38,0,0,52,24-05-2022
Hailakandi,1.29,0.24,0.07,7,0,0,0,24-05-2022
Goalpara,0,0,0,0,0,93.41,0,24-05-2022
Dima-Hasao,54.77,0,0.3,336,0,0,0,24-05-2022
Darrang,0,0,0,0,0,0,404.3,24-05-2022
Hojai,1.5,0.35,0,0,0,0,1,25-05-2022
Hailakandi,0.98,0.17,0.5,5,0,0,0,25-05-2022
Nagaon,193.11,34.81,10.44,0,0,30,0,25-05-2022
Dima-Hasao,166.73,3.85,1.27,413,0,0,0,25-05-2022
Karimganj,12.81,2.18,0.66,65.52,0,0,0,25-05-2022
Karbi Anglong West,52.22,9.39,2.81,281,0,0,0,25-05-2022
Kamrup,3.65,0.65,0.2,20,0,0,0,25-05-2022
Morigaon,315.14,57.22,17.17,0,0,76,0,25-05-2022
Cachar,100,25.13,7.54,754,0,0,0,25-05-2022
Darrang,0,0,0,0,0,0,71.4,25-05-2022
Morigaon,33.8,6.13,1.84,0,0,300,0,26-05-2022
Karbi Anglong West,0.84,0.16,0.5,4.95,0,0,0,26-05-2022
Nagaon,35.83,6.62,1.98,0,0,0,0,26-05-2022
Hailakandi,0.98,0.17,0.05,5,0,0,0,26-05-2022
Dima-Hasao,30.67,0.7,0.4,515,0,0,0,26-05-2022
Hojai,10.5,0.6,0.25,0,0,0,0,26-05-2022
Cachar,900.25,162.88,48.5,4550.16,0,0,0,26-05-2022
Dima-Hasao,0.4,0.02,0.6,10,0,0,0,27-05-2022
Hailakandi,0.12,0.02,0.01,0.54,0,0,0,27-05-2022
Morigaon,20.66,3.69,1.11,0,0,0,0,27-05-2022
Nagaon,1318.1,240.85,72.25,0,0,380,0,27-05-2022
Dima-Hasao,1,0.2,0.5,50,0,0,0,28-05-2022
Nagaon,47.24,8.53,2.56,0,0,158,0,28-05-2022
Dima-Hasao,28.35,1.5,0.57,150,0,0,0,30-05-2022
Nagaon,0,0,0,0,0,50,0,01-06-2022
Morigaon,197.38,35.76,10.73,0,0,0,0,01-06-2022
Dima-Hasao,166.14,55.25,0,793,0,0,0,02-06-2022
Dima-Hasao,51.71,4.08,0,101,0,0,0,03-06-2022
Cachar,18.5,3.6,1.18,118,0,0,0,03-06-2022
Nagaon,344.23,65.3,13.84,0,0,0,0,04-06-2022
Dima-Hasao,34.23,3.26,0.63,154,0,0,0,07-06-2022
Dima-Hasao,27.51,2.62,0.6,131,0,0,0,08-06-2022
Dima-Hasao,18.06,1.72,0.6,86,0,0,0,09-06-2022
Dhemaji,30.06,5.5,1.65,165,0,0,0,09-06-2022
Dhemaji,18.11,3.19,0.94,95.76,0,0,0,11-06-2022
Dima-Hasao,13.18,1.3,0.5,65,0,0,0,13-06-2022
Dima-Hasao,12.39,1.18,0.5,59,0,0,0,14-06-2022
Dhemaji,18.07,3.28,0.98,98.64,0,0,0,15-06-2022
Dima-Hasao,124.52,4.24,2,212,0,0,0,15-06-2022
Baksa,157.8,27.3,8.19,8.19,0,0,0,15-06-2022
Kamrup (M),3.99,0.17,0.04,22,0,1.8,0,15-06-2022
Bajali,2,0.1,0.1,10,0,436.11,0,15-06-2022
Hojai,200,0,0,0,0,0,22.5,16-06-2022
Kamrup (M),4.59,5.03,1.51,159.2,0,0,0,16-06-2022
Bajali,2,0.5,0.4,40,0,0,0,16-06-2022
Baksa,55.49,9.98,35.66,299.17,0,0,0,16-06-2022
Chirang,71.99,12.97,3.9,389.62,0,0,0,16-06-2022
Darrang,8.5,1.5,0.45,46,0,0,0,16-06-2022
Dibrugarh,63.13,11.57,3.47,0,0,0,0,16-06-2022
Dima-Hasao,29.4,2.8,0.5,140,0,0,0,16-06-2022
Udalguri,8.97,1.68,0.51,0,0,0,0,16-06-2022
Tamulpur,180.71,32.35,9.72,972.9,0,0,0,16-06-2022
Kokrajhar,52.74,9.67,2.9,290.1,0,0,0,16-06-2022
Udalguri,190.56,34.3,10.31,123,0,0,0,17-06-2022
Tinsukia,77.49,11.4,4.25,188.19,0,0,0,17-06-2022
Tamulpur,504.19,83.8,31.65,1535.66,0,611.94,0,17-06-2022
Sonitpur,60.62,11.54,3.46,0,0,0,0,17-06-2022
Nalbari,895.61,182.69,48.23,4824,0,3850,0,17-06-2022
Dhubri,11.17,2.07,0.62,62.43,0,0,0,17-06-2022
Kokrajhar,613.11,113.95,33.75,3375.63,0,0,0,17-06-2022
Bajali,33.28,5.78,131.95,102.03,0,100,0,17-06-2022
Lakhimpur,56.3,10.93,3.28,242.99,0,0,0,17-06-2022
Barpeta,6.84,1.23,0.37,0,0,0,0,17-06-2022
Biswanath,11.22,2.27,0,0,0,0,0,17-06-2022
Bongaigaon,1303.43,236.7,71.16,373.14,0,4437.28,0,17-06-2022
Chirang,142.59,27.67,8.12,811.06,0,0,0,17-06-2022
Dhemaji,39.16,7.24,2.16,143.91,0,0,0,17-06-2022
Baksa,88.75,610.37,4.9,490.44,0,30.69,0,17-06-2022
Karbi Anglong West,110.33,20.58,6.17,617.49,0,0,0,17-06-2022
Kamrup (M),64.32,10.6,3.18,319,0,0,0,17-06-2022
Kamrup,317.57,59.11,18.79,1879.09,0,939,0,17-06-2022
Goalpara,49.54,9.12,2.74,273.6,0,0,0,17-06-2022
Hojai,0,11.4,4.75,228,0,0,0,17-06-2022
Goalpara,20.71,3.77,1.14,113.22,0,0,0,18-06-2022
Hojai,300,7.8,3.25,156,0,0,60,18-06-2022
Kamrup,206.06,67.51,19.98,1997.68,0,1494,0,18-06-2022
Kamrup (M),0.6,0.1,0.03,3,0,0,0,18-06-2022
Karbi Anglong West,129.56,24.46,7.34,7.34,0,0,0,18-06-2022
Karimganj,13,1.2,0.5,0,0,0,0,18-06-2022
Lakhimpur,549.12,101.78,30.53,3137.88,0,0,126.3,18-06-2022
Dima-Hasao,1.26,0.12,0.06,6,0,0,0,18-06-2022
Nalbari,277.67,62.08,19.93,1993,0,0,0,18-06-2022
Sonitpur,506.45,95.66,28.62,0,0,226.4,0,18-06-2022
Tamulpur,363.2,64.01,19.43,393.09,0,0,0,18-06-2022
Udalguri,461.5,87.19,20.02,186.59,0,0,0,18-06-2022
Kokrajhar,56.51,10.38,3.12,311.58,4.5,0,0,18-06-2022
Dhubri,105.17,19.42,5.83,582.51,0,950.54,0,18-06-2022
Nagaon,22.17,4.04,1.21,0,0,0,0,18-06-2022
Darrang,1024.8,210.89,82.77,4227,0,0,922.75,18-06-2022
Chirang,92.5,17.6,5.28,512.92,0,0,0,18-06-2022
Cachar,8.8,1.85,0.53,52,0,0,0,18-06-2022
Bongaigaon,203.25,39.53,10.98,1097.75,0,1398,0,18-06-2022
Barpeta,9017.57,1732.26,913.42,26,0,5314,0,18-06-2022
Baksa,179.76,34.43,10.33,813.05,0,0,0,18-06-2022
Bajali,55.06,28.09,2.21,216.22,0,0,0,18-06-2022
Dhemaji,467.17,83.39,25.02,2372.87,0,160.5,0,18-06-2022
Hailakandi,14.87,2.78,0.84,69.71,0,0,0,19-06-2022
Golaghat,7.23,1.27,0.38,38.16,0,0,0,19-06-2022
Goalpara,143.04,25.64,7.7,769.14,0,1101.26,0,19-06-2022
Dima-Hasao,21,2,1,100,0,0,0,19-06-2022
Dibrugarh,45.36,8.43,2.54,0,0,0,0,19-06-2022
Baksa,237.5,42.47,12.95,1319.01,0,171.04,0,19-06-2022
Dhemaji,10.2,1.86,0.55,55.89,0,217,0,19-06-2022
Bajali,605.98,18.35,12.13,807.92,0,1391.2,0,19-06-2022
Hojai,0,17.1,1.75,216,0,0,81.5,19-06-2022
Barpeta,168.06,31.61,8.3,27,0,2830,0,19-06-2022
Bongaigaon,1242.33,234.48,70.32,6432.5,0,881.25,0,19-06-2022
Cachar,174,35.37,10.48,1048,0,0,0,19-06-2022
Dhubri,27.65,5.09,10.38,152.61,0,3559.63,0,19-06-2022
Kamrup,3367.72,484.93,424.39,15654.64,0,438.68,0,19-06-2022
Kokrajhar,897.55,166.74,50.03,5002.05,100,887,0,19-06-2022
Karimganj,333.57,63.33,17.51,908.89,0,0,0,19-06-2022
Lakhimpur,156.71,28.27,8.49,848.61,0,126.3,150.34,19-06-2022
Nagaon,141.13,25.57,7.68,0,0,250,0,19-06-2022
Nalbari,70.71,12.52,3.75,375.66,0,1036,0,19-06-2022
Sivasagar,106.5,18.88,5.66,0,0,0,0,19-06-2022
Udalguri,318.87,55.6,16.14,1317.18,0,0,0,19-06-2022
Tinsukia,178.79,32.89,9.83,9.83,0,0,0,19-06-2022
Tamulpur,631.3,150.78,23.38,206.38,0,6,0,19-06-2022
Chirang,129.79,23.28,7.03,718.77,135,0,0,19-06-2022
South Salmara,66.9,12.36,3.71,37.1,0,0,0,19-06-2022
Sonitpur,8.59,1.59,0.48,0,0,744.34,0,19-06-2022
Karbi Anglong West,129.56,24.46,7.34,733.85,0,0,0,19-06-2022
Darrang,430.82,110.53,18.85,2105,213.25,0,221.2,19-06-2022
Udalguri,240.5,44.93,13.59,908.61,0,18,476.5,20-06-2022
Tinsukia,122.37,23.24,6.98,51.53,0,0,0,20-06-2022
Tamulpur,509.53,94.9,28.47,257.66,0,1488.39,0,20-06-2022
Barpeta,1281.89,232.34,69.7,0,0,841,0,20-06-2022
Sonitpur,151.85,27.81,8.36,0,0,64.4,0,20-06-2022
Biswanath,2.25,0.41,0.12,12.42,0,506.16,0,20-06-2022
Bongaigaon,608.71,114.7,34.62,2966.26,0,890.4,0,20-06-2022
Cachar,577.2,148.6,42.19,4504.12,0,0,0,20-06-2022
Chirang,88.95,17.15,5.35,536.11,70,0,0,20-06-2022
Bajali,1105.98,466.95,117.21,6472.29,0,1279.3,0,20-06-2022
Darrang,2243,406.27,125.3,11949,0,0,1413,20-06-2022
Dhemaji,0,0,0,0,0,889.24,0,20-06-2022
Dhubri,136.73,25.2,7.58,757.65,0,8300.03,0,20-06-2022
Dibrugarh,0,0,0,0,0,137.09,0,20-06-2022
Dima-Hasao,23.12,2.2,0.79,110,0,0,0,20-06-2022
South Salmara,0,0,0,0,0,6318,0,20-06-2022
Goalpara,117.65,21.63,6.49,649,0,130,0,20-06-2022
Hailakandi,154.1,30.34,8.63,863.11,0,0,0,20-06-2022
Hojai,180,31.5,6.49,420,0,23.5,15,20-06-2022
Kamrup (M),0,0,0,0,0,200,0,20-06-2022
Baksa,71.64,29.62,8.88,152.46,0,0,0,20-06-2022
Karimganj,928.22,179.19,54.13,3668.73,0,0,0,20-06-2022
Kokrajhar,0,0,0,0,0,120,0,20-06-2022
Lakhimpur,1492.57,276.33,82.29,8228.69,0,0,282.85,20-06-2022
Morigaon,1142.1,206.45,61.93,0,0,400,0,20-06-2022
Nagaon,1472.82,270.11,80.89,0,0,548,0,20-06-2022
Nalbari,986.65,216.44,66.19,6619,0,0,0,20-06-2022
Golaghat,65.74,12.1,3.63,363.24,0,0,0,20-06-2022
Karbi Anglong West,94.16,18.13,5.44,543.96,0,0,0,20-06-2022
Kamrup,1486.66,284.21,70.25,7724.83,0,5405.89,0,20-06-2022
Lakhimpur,238.23,43.98,13.19,1319.28,0,0,940.6,21-06-2022
Kamrup (M),0,0,0,0,0,80,0,21-06-2022
Karbi Anglong West,94.16,18.13,5.44,543.96,0,0,0,21-06-2022
Karimganj,2008.99,373.98,86.84,0,0,0,165,21-06-2022
