District,Baby Food Liquid,Baby Food Solid,Others,Date
Bajali,0.00-Q,0.00-Q,,18-05-2022
Sonitpur,0.00-Q,0.00-Q,,18-05-2022
Nagaon,"0.00-Q, 100.00-Pkt","250.00-ml, 100.00-Pkt",CANDLE-61.00-Pkt; MAXO COIL-61.00-Pkt; 0-0.00-Pieces,18-05-2022
Karimganj,10.00-Pkt,"82.00-Pkt, 0.00-Q",chira-11.85-Q; Gur-2.15-Q,18-05-2022
Karbi Anglong West,0.00-Q,0.00-Q,,18-05-2022
Kamrup,0.00-Q,0.00-Q,,18-05-2022
Hojai,"1272.00-L, 0.00-Q","0.00-Pkt, 0.00-Q",Chira -20.40-Q; Gur-3.84-Q; Water bottle-330.00-L; Amul Taza-311.00-L,18-05-2022
Biswanath,0.00-Q,"0.00-Q, 1.00-Pkt",Wheat Bran-160.64-Q; Corn Flakes-5.00-Pkt; Mosquito Coil-3.00-Pkt; Milk (Amul Taza)-5.00-L,18-05-2022
Dima-Hasao,0.00-Q,0.00-Q,Chira-0.64-Q; Biscuit-190.00-Pkt; candle-33.00-Pkt; Match-30.00-Pieces; Mortin-3.00-Pkt; Tarpoulin-25.00-Pieces,18-05-2022
Dhemaji,0.00-Q,0.00-Q,Tarpulin-15.00-Pieces,18-05-2022
Darrang,0.00-Q,"0.00-Q, 44.00-Pkt",0-0.00-Q; Tarpaulin-500.00-Pieces,18-05-2022
Charaideo,0.00-Q,0.00-Q,,18-05-2022
Cachar,"0.00-Q, 508.00-Pkt","0.00-Q, 224.00-Pkt",Cook Food-6.00-Pkt; Palm Sugar-508.00-Pkt; Sagu-277.00-Pkt; Mortein-1017.00-Pkt; Soyabin-127.80-Kg; Potato-2196.00-Kg; Candle-1727.00-Pkt; Match Box-1251.00-Pkt; Mortien-750.00-Pkt; Tarpulin-700.00-Pieces,18-05-2022
Hailakandi,850.00-Pkt,80.00-Pkt,,18-05-2022
Sonitpur,0.00-Q,0.00-Q,,19-05-2022
Nagaon,"0.00-Q, 100.00-Pkt","0.00-Q, 50000.00-ml, 400.00-Pkt",0-0.00-Pkt,19-05-2022
Lakhimpur,0.00-Q,0.00-Q,,19-05-2022
Karimganj,"23.00-Pkt, 0.00-Q","0.00-Q, 60.00-Pkt",Chira-215.60-Kg; Gur-36.10-Kg; chira-0.55-Q; Gur-0.10-Q,19-05-2022
Karbi Anglong West,0.00-Q,0.00-Q,,19-05-2022
Kamrup,0.00-Q,0.00-Q,,19-05-2022
Nalbari,0.00-Q,0.00-Q,,19-05-2022
Hailakandi,0.00-Q,0.00-Q,,19-05-2022
Dima-Hasao,20.00-L,0.00-Q,,19-05-2022
Dibrugarh,0.00-Q,0.00-Q,,19-05-2022
Dhemaji,0.00-Q,0.00-Q,Tarpaulin-155.00-Pieces,19-05-2022
Darrang,0.00-Q,"0.00-Q, 90.00-Pkt",Tarpaulin-500.00-Pieces,19-05-2022
Cachar,0.00-Q,0.00-Q,Cook Food-70.00-Pkt; Mortien-800.00-Pkt; Candle-800.00-Pkt; Match Box-800.00-Pkt,19-05-2022
Biswanath,0.00-Q,0.00-Q,Candle-16.00-Pkt; Mosquito Repellent Coil-12.00-Pkt; Match Box-9.00-Pkt; Sanitary Pad-30.00-Pkt; Hand Wash-16.00-Pieces; Soap-25.00-Pieces; Chira-1.67-Q; Jaggery-0.30-Q,19-05-2022
Hojai,"0.00-Q, 0.00-Pkt","0.00-Q, 1849.00-Kg",Tarpaulins-1350.00-Pieces; Tarpaulin-1060.00-Pieces; Chira-31.88-Q; Gur-5.50-Q; Amul Taza-640.00-L; Water-1245.00-L,19-05-2022
Sonitpur,0.00-Q,0.00-Q,,20-05-2022
Nagaon,0.00-Q,"0.00-Q, 450000.00-ml",Tarpaulin-365.00-Pieces,20-05-2022
Morigaon,0.00-Q,0.00-Q,0-0.00-Q,20-05-2022
Karimganj,0.00-Q,"100.00-Pkt, 0.00-Q",0-0.00-Q; MOSQUITO COIL -10.00-Pkt; CANDLE-20.00-Pkt; PHENYL-15.00-L; SANITARY NAPKIN-30.00-Pkt,20-05-2022
Karbi Anglong West,0.00-Q,0.00-Q,,20-05-2022
Lakhimpur,0.00-Q,0.00-Q,,20-05-2022
Hojai,"2287.00-L, 0.00-Q","0.00-Q, 2302.00-Pkt",chira-82.78-Q; Gur-15.72-Q; Amul Taza-1302.00-Pkt; water bottle-20500.00-L; biscuit-2000.00-Pkt; Tarpaulin-200.00-Pieces; Biscuit-7114.00-Pkt; Water-18858.00-L,20-05-2022
Kamrup,0.00-Q,0.00-Q,0-0.00-Q,20-05-2022
Biswanath,0.00-Q,0.00-Q,Nestum for Baby-3.00-Pkt; Chira-0.53-Q; Jaggery -0.09-Q; Candle-13.00-Pkt; Mosquito repellent coil-13.00-Pkt; Match Box-13.00-Pkt; Sanitary Pads -5.00-Pkt; Hand wash-5.00-Pieces; Soap-26.00-Pieces,20-05-2022
Darrang,"0.00-Q, 2.00-L","240.00-Pkt, 0.00-Q",Tarpaulin-200.00-Pieces; Candles-7.00-Pkt; sanitary pads-50.00-Pkt; mosquito coil-5.00-Pkt,20-05-2022
Dima-Hasao,0.00-L,0.00-Kg,,20-05-2022
Hailakandi,0.00-Q,0.00-Q,Tarpaulin-160.00-Pieces; Water Purification Tablet-2300.00-Pieces; Water Packets-3000.00-Pkt,20-05-2022
Cachar,0.00-Q,0.00-Q,Cheera-3.00-Kg; Jaggery-0.25-Kg; Candle-1369.00-Pkt; Match Box-1369.00-Pkt; Paked Drinking Water-2.00-L; Biscuit-26.00-Pkt; Mortien-50.00-Pkt; Mortein-1368.00-Pkt; Soyabean-184.20-Kg; Potato-6474.00-Kg; Soyaean-19.00-Kg; Amul Taza-12.00-L,20-05-2022
Sonitpur,0.00-Q,0.00-Q,,21-05-2022
Cachar,"0.00-Q, 2669.00-Pkt","0.00-Q, 1013.00-Pkt",Mortien-3335.00-Pkt; Candle-3765.00-Pkt; Match Box-3588.00-Pkt; Soyabean-456.75-Kg; Potato -225.00-Kg; Tarpaulin-120.00-Pieces; candle-2840.00-Pkt; Potatos-8617.00-Pkt; Biscuit-2669.00-Pkt; Mortein-253.00-Pkt; Soyabin-37.95-Kg; Potatoes-782.00-Kg; M Coil-3017.00-Pkt; Match box-3017.00-Pkt; Potatos-2790.00-Kg,21-05-2022
Darrang,0.00-Q,"0.00-Q, 8.00-Pkt",Tarpaulin-150.00-Q; Taurpaulin-500.00-Pieces,21-05-2022
Dima-Hasao,0.00-Q,0.00-Q,Biscuit-190.00-Pkt; candle-70.00-Pkt; Match Box-36.00-Pieces; M Coil-38.00-Pkt; Soap-65.00-Pkt; Tarpalin-33.00-Pieces,21-05-2022
Hojai,"6861.00-L, 0.00-Q","0.00-Pkt, 0.00-Q",Water bottle-15405.00-L; Biscuts -6861.00-Pkt; Phynyl-5.00-Pieces; Water Bottle-200.00-Pieces; Bleaching Powder-1.00-Pieces; Amul -50.00-L,21-05-2022
Karbi Anglong West,0.00-Q,0.00-Q,,21-05-2022
Karimganj,"141.00-Pkt, 0.00-Q","135.00-Pkt, 0.00-Q",0-0.00-Q,21-05-2022
Lakhimpur,0.00-Q,0.00-Q,,21-05-2022
Morigaon,0.00-Q,0.00-Q,0-0.00-Q,21-05-2022
Nagaon,"0.00-Q, 20000.00-ml","0.00-Q, 45.00-Pkt, 75.00-Kg",Drinking Water-2500.00-Pkt; Bleaching-5.00-Pkt; Halogen Tab-4000.00-Pieces; Tarpaulin-1400.00-Pieces; Biscuit-400.00-Pkt; Milk-45.00-Pkt,21-05-2022
Nalbari,0.00-Q,0.00-Q,,21-05-2022
Hailakandi,0.00-Q,0.00-Q,Phenyle-41000.00-ml; Soap-340.00-Pieces; Harpic-21000.00-ml; Tarpaulin-17.00-Pieces,21-05-2022
Kamrup,0.00-Q,0.00-Q,,21-05-2022
Hailakandi,0.00-Q,0.00-Q,Tarpaulin-47.00-Pieces,22-05-2022
Hojai,0.00-Q,0.00-Q,Tarpaulin-500.00-Pieces; Amul Taza-312.00-L; Drinking water-2460.00-L; Biscuits-480.00-Pkt; Phenyl-100.00-Pieces; Bleaching power-50.00-Kg; Sanitary pads-100.00-Pkt,22-05-2022
Morigaon,1200.00-Pieces,1000.00-Pieces,Charge Light-70.00-Pieces; Tarpaulin-1500.00-Pieces; Candle-1000.00-Pieces,22-05-2022
Karimganj,"0.00-Q, 48.00-Pkt",0.00-Q,0-0.00-Q; MOSQUITO COIL-30.00-Pkt; PHENYL-9.00-L; NAPKIN-80.00-Pkt; CANDLE-40.00-Pkt; MATCH BOX-30.00-Pkt,22-05-2022
Darrang,0.00-Q,"0.00-Q, 28.00-Pkt",Tarpailin-50.00-Pieces,22-05-2022
Cachar,0.00-Q,0.00-Q,Mortein -2000.00-Pkt; Candle-6120.00-Pkt; Match Box-6120.00-Pkt; Tarpaulin -1000.00-Pieces; Soyabean-990.45-Kg; Potato-11010.00-Kg; Mortein-4120.00-Pkt,22-05-2022
Barpeta,0.00-Q,0.00-Q,0-0.00-Q,22-05-2022
Nagaon,"0.00-ml, 660.00-L","83.00-Kg, 3300.00-Pkt",Tarpaulin-338.00-Pieces,23-05-2022
Morigaon,1800.00-Pieces,2000.00-Pieces,TARPAULIN-1000.00-Pieces,23-05-2022
Karimganj,0.00-Q,0.00-Q,0-1.00-Q,23-05-2022
Kamrup,0.00-Q,0.00-Q,0-0.00-Q,23-05-2022
Karbi Anglong West,0.00-Q,0.00-Q,,23-05-2022
Hailakandi,0.00-Q,0.00-Q,,23-05-2022
Dima-Hasao,0.00-Q,0.00-Q,,23-05-2022
Dibrugarh,0.00-Q,0.00-Q,,23-05-2022
Darrang,0.00-Q,0.00-Q,Tarpaulin-100.00-Pieces,23-05-2022
Cachar,0.00-Q,0.00-Q,Mortien -1202.00-Pkt; Candle-1202.00-Pkt; Match Box -1202.00-Pkt; Soyabean-408.55-Kg; Potato-7118.00-Pkt,23-05-2022
Barpeta,0.00-Q,0.00-Q,,23-05-2022
Hojai,0.00-Q,0.00-Q,Rice Bran-25.00-Q; Tarpaulin-160.00-Pieces; Water-1200.00-L; Biscuit-1440.00-Pkt; Phenyl-20.00-Pieces; Bleaching powder-49.00-Kg; Amul Taza-198.00-L; Chira-11.25-Q; Gur-1.50-Q,23-05-2022
Kamrup,0.00-Q,0.00-Q,,24-05-2022
Morigaon,0.00-Q,0.00-Q,,24-05-2022
Karbi Anglong West,0.00-Q,0.00-Q,,24-05-2022
Karimganj,217.00-Pkt,0.00-Q,0-0.00-Q,24-05-2022
Hailakandi,0.00-Q,0.00-Q,,24-05-2022
Goalpara,0.00-Q,0.00-Q,,24-05-2022
Dima-Hasao,0.00-Q,0.00-Q,0-0.00-Q,24-05-2022
Darrang,0.00-Q,0.00-Q,,24-05-2022
Cachar,0.00-Q,0.00-Q,Soybean -1593.55-Kg; Candle-920.00-Pkt; Match Box-920.00-Pkt; Potato -2251.00-Kg; Mortien -445.00-Pkt; 0-0.00-Q; Mortien-475.00-Pkt,24-05-2022
Hojai,"0.00-Q, 48.00-L",0.00-Q,Tarpaulin -300.00-Pieces; Chira -7.50-Q; Tarpaulin-540.00- Pieces; Water -1020.00-L; Biscuits -1080.00-Pkt; Bleaching Powder -35.00-Pkt; Phenyl-35.00-Pieces; Candle-4.00-Pkt; Gur-1.00-Q,24-05-2022
Barpeta,0.00-Q,0.00-Q,,24-05-2022
Morigaon,0.00-Q,0.00-Q,,25-05-2022
Karimganj,73.00-Pkt,0.00-Q,0-0.00-Q,25-05-2022
Karbi Anglong West,0.00-Q,0.00-Q,,25-05-2022
Darrang,0.00-Q,0.00-Q,,25-05-2022
Hojai,0.00-Q,0.00-Q,Amul Taza-30.00-L; Water-84.00-L; Bleaching Powder-2.00-Pkt; Biscuit-240.00-Pkt; Phenyl-48.00-Pieces; Chira-0.25-Q,25-05-2022
Hailakandi,0.00-Q,0.00-Q,,25-05-2022
Dima-Hasao,0.00-Q,413.00-Kg,Potato-37.50-Q; Onion-5.90-Q; Turmeric-413.00-Kg; Biscuits-2016.00-Pkt; Candle-864.00-Pkt; Match Box-413.00-Pkt; Mosquito Repellent-826.00-Pkt,25-05-2022
Kamrup,0.00-Q,0.00-Q,,25-05-2022
Cachar,0.00-Q,0.00-Q,Mortien-729.00-Pkt; Candle-729.00-Pkt; Match Box-729.00-Pkt; Soap-600.00-Pieces; Soyabean-109.35-Kg; Potato-2187.00-Kg,25-05-2022
Morigaon,0.00-Q,0.00-Q,TARPAULIN -500.00-Pieces,26-05-2022
Hailakandi,0.00-Q,0.00-Q,,26-05-2022
Hojai,24.00-L,0.00-Q,Phnyle-12.00-Pieces; Bleaching Powder-10.00-Pkt; Biscuit -180.00-Pkt,26-05-2022
Dima-Hasao,15.00-L,0.00-Pkt,Potato-20.00-Q; Onion-5.00-Q,26-05-2022
Cachar,0.00-Q,0.00-Q,,26-05-2022
Dima-Hasao,60.00-L,0.00-Q,Biscuit-120.00-Pkt; Candle-300.00-Pkt; Match Box-100.00-Pkt; Mosquito Repellent-60.00-Pkt; Turmeric-50.00-Pkt; Milk-60.00-L,27-05-2022
Hailakandi,0.00-Q,0.00-Q,,27-05-2022
Morigaon,0.00-Q,0.00-Q,Hand Tube well-112.00-Pieces,27-05-2022
Cachar,0.00-Q,0.00-Q,Mortien-120.00-Pkt; Candle-120.00-Pkt; Match Box-65.00-Pkt; Potato-360.00-Kg; Cerelec-10.00-Pkt; Amul Taja-5.00-L; Biscuit-10.00-Pkt,27-05-2022
Dima-Hasao,60.00-L,0.00-Q,Milk-60.00-L; Potato-1.00-Q; Onion-1.00-Q; Biscuit-250.00-Pkt; Candle-450.00-Pkt; Match Box-180.00-Pkt; Mosquito Repellent-200.00-Pkt,28-05-2022
Hojai,0.00-Q,0.00-Q,Chira -0.25-Q; Gur-0.50-Q; Water -12.00-L,28-05-2022
Morigaon,0.00-Q,0.00-Q,Sanitary Napkin -111.00-Pieces,28-05-2022
Dima-Hasao,78.00-L,0.00-Q,Potato-500.00-Kg; Onion-100.00-Kg; Milk-78.00-L; Biscuit-160.00-Pkt; Candle-400.00-Pkt; Match Box-156.00-Pkt; Mosquito Repellent-200.00-Pkt,29-05-2022
Dima-Hasao,0.00-L,0.00-Q,Milk-430.00-L; Potato-18.10-Q; Onion-5.66-Q; Biscuit-3444.00-Pkt; Candle-810.00-Pkt; Match Box-326.00-Pkt; Mosquito Repellent-861.00-Pkt,30-05-2022
Morigaon,4000.00-Pieces,4000.00-Pieces,Sanitary Napkin-25.00-Pieces,30-05-2022
Dima-Hasao,0.00-Q,0.00-Q,Milk-131.00-L; Onion-1031.00-Q; Candle-393.00-Pkt; Match Box-131.00-Pkt; Mosquito Repellent-131.00-Pkt,01-06-2022
Morigaon,0.00-Q,0.00-Q,,01-06-2022
Cachar,0.00-Q,0.00-Q,0-0.00-Q,03-06-2022
Dhemaji,0.00-Q,0.00-Q,,09-06-2022
Dhemaji,0.00-Q,0.00-Q,Tarpulin-345.00-Pieces,13-06-2022
Dima-Hasao,0.00-Q,0.00-Q,Haldi-212.00-Pkt; Milk-212.00-L; Potato-24.96-Q; onion-6.36-Q; Match Box-212.00-Pkt,15-06-2022
Dhemaji,0.00-Q,0.00-Q,Tarpaulin -202.00-Pieces,15-06-2022
Baksa,0.00-L,21.00-Pkt,Candle -30.00-Pkt; Biscuits -30.00-Pkt,15-06-2022
Bajali,0.00-Q,0.00-Q,,15-06-2022
Chirang,"0.00-Pkt, 0.00-Q","23.00-Pkt, 0.00-Q",Tarpaulin-10.00-Pieces; Mosquito Net-21.00-Pieces; Sanitary Napkin-20.00-Pkt,16-06-2022
Baksa,"35.00-Pkt, 0.00-Q","0.00-Q, 120.00-Pkt",Candel-166.00-Pkt; Biscuit-500.00-Pkt; Mother horliks-1.00-Pkt; Candle -30.00-Pkt; Biscuit -140.00-Pkt; Mosquito coil -140.00-Pkt; 0-0.00-Q; Cattle feed-957.00-Kg,16-06-2022
Bajali,0.00-Q,0.00-Q,Tarpaulin-600.00-Pieces; Biscuit -10.00-Pkt; Potato-5.00-Kg,16-06-2022
Dibrugarh,0.00-Q,0.00-Q,,16-06-2022
Darrang,0.00-Q,0.00-Q,Tarpaulin-10.00-Pieces; Chira-5.00-Q; Gur-1.50-Q; cake-504.00-Pkt; Biscuit-504.00-Pkt,16-06-2022
Tamulpur,0.00-Q,0.00-Q,,16-06-2022
Kokrajhar,0.00-Q,0.00-Q,Chira-276.00-Kg; Gur-48.70-Kg; CANDLES-625.00-Pkt; MATCHBOX-64.00-Pkt; GOOD DAY BISCUIT-2923.00-Pkt; TARPAULINE-110.00-Pieces,16-06-2022
Kamrup (M),0.00-Q,0.00-Q,Tarpouline-560.00-Pieces; Water Bottle 2Ltr-170.00-L; Bread-9037.00-Pkt; Biscuit-14074.00-Pkt; Candle-1770.00-Pkt; Tarpaulin-40.00-Pieces; Water Bottle-20232.00-L,16-06-2022
Hojai,0.00-Q,0.00-Q,Chira 120 bag (30 Kg per Pkt)-36.00-Q; Gur 10 bag (per bag 30 kg)-3.00-Q; Water (1 Ltr per bottle)-1200.00-L; Amoul-480.00-L; Candle (Per Pkt-6)-100.00-Pkt; Tarpaulin-200.00-Pieces; Biscuits 10 Box(Per Box 38 Pkts)-380.00-Pkt; Tarpualin -300.00-Pieces,16-06-2022
Dima-Hasao,0.00-Q,0.00-Q,Potato-13.70-Q; Onion-6.60-Q; Match Box-140.00-Pkt; Battery-280.00-Pieces; Torch-140.00-Pieces,16-06-2022
Udalguri,"0.00-Q, 0.00-Pkt","0.00-Q, 20.00-Pkt",Sanitary Pad -40.00-Pkt; Candles & Match Sticks-40.00-Pkt; Mosquito Coil-40.00-Pkt; Mosquito Net-40.00-Pieces; Disposal Plates & Glass-40.00-Pkt; Soap-80.00-Pieces; Water Bottle-40.00-Pkt; Phenyl-20.00-Pieces; Mask & Sanitizer-600.00-,17-06-2022
Tinsukia,0.00-Q,0.00-Q,,17-06-2022
Sonitpur,0.00-Q,0.00-Q,,17-06-2022
Nalbari,0.00-Q,0.00-Q,Phenyl-50.00-L; Candle-110.00-Pkt; Mosquito Coil-110.00-Pkt,17-06-2022
Tamulpur,0.00-Q,0.00-Q,chira-14676.00-Kg; Gur-2621.00-Kg,17-06-2022
Kokrajhar,0.00-Q,"6.00-Pkt, 0.00-Q",Chira-75.00-Kg; Gur-12.00-Kg; Match Box-20.00-Pkt; Water Bottle-120.00-Pieces; Candle-536.00-Pkt; Biscuit-168.00-Pkt; CANDLE-3893.00-Pkt; MATCHBOX-306.00-Pkt; GOODDAY BISCUIT-14548.00-Pkt; Match Box-138.00-Q; Match Box-71.00-Pieces; Chemical Packets-200.00-Pkt; Halogen Tablets-800.00-Pieces; M COIL-853.00-Pkt; SOAP-853.00-Pieces,17-06-2022
Bajali,0.00-Q,0.00-Q,,17-06-2022
Lakhimpur,0.00-Q,"0.00-Q, 31.00-Kg",Taurpalin-463.00-Pkt; Tarpaulin-63.00-Pieces,17-06-2022
Barpeta,0.00-Q,20.00-Pkt,candles-1013.00-Pkt; mosquito repellent coli-15.00-Pkt; Sanitary Napkin-50.00-Pkt; Chira-5155.60-Kg; Jeggary-942.70-Kg,17-06-2022
Biswanath,0.00-Q,0.00-Q,,17-06-2022
Bongaigaon,"0.00-Q, 1102.00-Pkt","0.00-Q, 6630.00-Pkt",Tarpaulin-7303.00-Pieces; Sanitay Pad-60.00-Pkt; Sanitary pad-175.00-Pkt; Candle-91.00-Pkt; Match box-91.00-Pkt; Coil-91.00-Pkt; Sanitary Pad-488.00-Pkt; chira-0.84-Q; gur-0.15-Q,17-06-2022
Chirang,0.00-Q,0.00-Q,Tarpaulin-89.00-Pieces,17-06-2022
Darrang,0.00-Q,0.00-Q,Tarpaulin-200.00-Pieces; candle-10.00-Pkt; mosquito coil-10.00-Pkt,17-06-2022
Baksa,"0.00-Q, 0.00-Pkt","0.00-Q, 30.00-Pkt",Nil-0.00-Q; Biscuit-1269.00-Pkt; Candle -30.00-Pkt; Biscuit -100.00-Pkt; Mosquito coil -30.00-Pkt,17-06-2022
Dhubri,"0.00-Q, 45.00-Pkt","0.00-Q, 0.00-Pkt",Tarpauline-250.00-Pieces; chira-236.00-Kg; gur-43.00-Kg; M. Coil-46.00-Pkt; M.Box-46.00-Pkt; Candle-46.00-Pkt; Tarpaulin-30.00-Pieces,17-06-2022
Goalpara,0.00-Q,0.00-Q,candle-570.00-Pkt; Mosquito Coil-570.00-Pkt; Match box-288.00-Pieces; Tarpaulin-242.00-Pieces; Bleaching Powder-5.00-Kg; Phenyl-5.00-Kg; 0-0.00-Q,17-06-2022
Hojai,"0.00-Q, 0.00-L",0.00-Q,Water Bottle 40 Carton ( 12 Pc per cartone) -480.00-L; Amul Taza-228.00-L; Sanitary pads-20.00-Pkt; Water Bottles-600.00-L; Sanitary Pad-75.00-Pkt; Water Bottle-1200.00-L,17-06-2022
Kamrup,"71.00-Pkt, 0.00-Q","71.00-Pkt, 0.00-Q",Candle-315.00-Pkt; Mosquito Coil-70.00-Pkt; Sanitary Napkin-17.00-Pkt; Tarpaulin-350.00-Pieces; Trpaulin-2000.00-Pieces,17-06-2022
Kamrup (M),0.00-Q,0.00-Q,Water -3144.00-L; Bread-1960.00-Pkt; Biscuit-3920.00-Pkt; Candle-240.00-Pkt; Tarpouline-530.00-Pieces; Water Bottle-15000.00-L; Tarpaulin-340.00-Pieces,17-06-2022
Karbi Anglong West,0.00-Q,0.00-Q,,17-06-2022
Dhemaji,0.00-Q,0.00-Q,Tarpaulin-40.00-Pieces,17-06-2022
Hojai,0.00-Q,0.00-Q,Amul Taza-156.00-L; Water-240.00-L; Sanitary Pad-65.00-Pkt; Water Bottle-1320.00-L,18-06-2022
Kamrup,"73.00-Pkt, 0.00-Q","73.00-Pkt, 0.00-Q",Candles-40.00-Pkt; Mosquito Coil-40.00-Pkt; Sanitary Napkin-8.00-Pkt; Tarpaulin-500.00-Pieces; Candle-15344.00-Pkt; Candel-20.00-Pkt,18-06-2022
Kamrup (M),0.00-Q,0.00-Q,Tarpouline-430.00-Pieces; Bread-50.00-Pkt; Biscuit-50.00-Pkt; Candle-5.00-Pkt,18-06-2022
Karbi Anglong West,0.00-Q,0.00-Q,,18-06-2022
Karimganj,0.00-Q,0.00-Q,0-0.00-Q,18-06-2022
Nalbari,0.00-Q,0.00-Q,Masquto Coil-186.00-Pkt; Candle -372.00-Pkt; Wheat Bran-1036.00-Q,18-06-2022
Lakhimpur,0.00-Q,"0.00-Q, 64.00-Pkt",Suji 1/2 kg-30.00-Pkt; Horlicks 500 g-14.00-Pkt; concentrated cattle feed Godrej Supreme-76.00-Q; Tarpaulin-113.00-Pieces; Concentrate Feed (Cattle Feed)-28.00-Q; Halogen Tablet-4000.00-Pieces; Horlics (Baby Food)-60.00-Pieces; 0-0.00-Q,18-06-2022
Nagaon,500.00-Pkt,500.00-Pkt,Candle-100.00-Pkt; HTW-1.00-Pieces,18-06-2022
Sonitpur,0.00-Q,0.00-Q,0-0.00-Q,18-06-2022
Tamulpur,"3.00-Pkt, 0.00-Q",0.00-Q,,18-06-2022
Goalpara,0.00-Q,0.00-Q,Chira-1.93-Q; Gur-0.34-Q; Mosquito Coil-252.00-Pkt; Match Box-252.00-Pkt; Candle-252.00-Pkt; Tarpaulin-1118.00-Pieces,18-06-2022
Kokrajhar,0.00-Q,"0.00-Q, 46.50-Kg, 12.00-Pkt",Candle-340.00-Pieces; Match Box-430.00-Pieces; CANDLE-92.00-Pkt; CORNFLAKES-3.90-Kg; MOTHER HORLICKS-9.00-Kg; BISCUITS-117.00-Pkt; SANITARY NAPKIN-240.00-Pieces; HAND SANITIZER-2.00-L; SOAP-398.00-Pieces; BLEACHING POWDER-10.00-Kg; Biscuit-54.00-Pkt; Candle-34.00-Pkt; Match Box-15.00-Pkt; Mosquito Coil-84.00-Pkt; Bath Soap-84.00-Pieces,18-06-2022
Dima-Hasao,0.00-Q,0.00-Q,Haldi-6.00-Pkt; Milk-6.00-L; Potato-30.00-Kg; Onion-6.00-Kg; Biscuit-42.00-Pkt; Candle-18.00-Pkt; Match Box-6.00-Pkt; Mosquito Repellent-12.00-Pkt,18-06-2022
Bajali,"0.00-Q, 0.00-ml","0.00-Q, 0.00-ml",wheat bran-851.00-Q; candle-17.00-Pieces,18-06-2022
Dhubri,"375.00-Pkt, 0.00-Q","0.00-Q, 26.00-Pkt",Candle-60.00-Pkt; M. Coil-60.00-Pkt; M.Box-60.00-Pieces; Tarpaulin-84.00-Pieces; sanitary napkins-90.00-Pkt,18-06-2022
